__time,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1779288971.861858,,,,1779288971.861772060,0.752149709,-0.013342388,-1.060259639,-0.110094251
1779288971.861898,0.046252270,0.385853208,0.000000000,,,,,
1779288971.862814,0.046222829,0.385606513,0.000000000,,,,,
1779288971.862847,,,,1779288971.862694740,0.752137393,-0.013299585,-1.060361258,-0.109737171
1779288971.863606,0.046192680,0.385353889,0.000000000,,,,,
1779288971.863768,,,,1779288971.863572598,0.752125718,-0.013258912,-1.060457583,-0.109397865
1779288971.864591,0.046162192,0.385098429,0.000000000,,,,,
1779288971.864655,,,,1779288971.864528894,0.752113160,-0.013215044,-1.060561197,-0.109031901
1779288971.865525,,,,1779288971.865441322,0.752101229,-0.013173260,-1.060659635,-0.108683327
1779288971.865544,0.046133194,0.384855448,0.000000000,,,,,
1779288971.866369,0.046101884,0.384593099,0.000000000,,,,,
1779288971.866422,,,,1779288971.866324663,0.752089460,-0.013131945,-1.060756724,-0.108338668
1779288971.867243,0.046072031,0.384342962,0.000000000,,,,,
1779288971.867399,,,,1779288971.867221117,0.752077809,-0.013090940,-1.060852843,-0.107996597
1779288971.868256,0.046072031,0.384342962,0.000000000,,,,,
1779288971.868320,,,,1779288971.868173122,0.752065290,-0.013046730,-1.060956120,-0.107627790
1779288971.869316,0.046013131,0.383849440,0.000000000,,,,,
1779288971.869420,,,,1779288971.869154692,0.752053358,-0.013004511,-1.061054550,-0.107275593
1779288971.870089,0.046543885,0.380994881,0.000000000,,,,,
1779288971.870157,,,,1779288971.870015621,0.752041664,-0.012962525,-1.061151012,-0.106931903
1779288971.871057,,,,1779288971.870941639,0.752029697,-0.012919962,-1.061249730,-0.106576836
1779288971.871086,0.045951154,0.383330143,0.000000000,,,,,
1779288971.871920,0.045920861,0.383082914,0.000000000,,,,,
1779288971.871987,,,,1779288971.871854305,0.752017987,-0.012878206,-1.061346322,-0.106228504
1779288971.872787,0.045890265,0.382826566,0.000000000,,,,,
1779288971.872892,,,,1779288971.872750044,0.752006399,-0.012836781,-1.061441903,-0.105882928
1779288971.873765,0.045860220,0.382574826,0.000000000,,,,,
1779288971.873855,,,,1779288971.873699665,0.751994225,-0.012793141,-1.061542314,-0.105518870
1779288971.874640,0.045830382,0.382324830,0.000000000,,,,,
1779288971.874794,,,,1779288971.874603033,0.751982580,-0.012751286,-1.061638362,-0.105169708
1779288971.875569,0.045798916,0.382061184,0.000000000,,,,,
1779288971.875633,,,,1779288971.875489235,0.751971239,-0.012710423,-1.061731892,-0.104828825
1779288971.876448,0.045798916,0.382061184,0.000000000,,,,,
1779288971.876552,,,,1779288971.876408339,0.751959736,-0.012668837,-1.061826762,-0.104481912
1779288971.877362,0.045739184,0.381560717,0.000000000,,,,,
1779288971.877456,,,,1779288971.877321243,0.751948162,-0.012626913,-1.061922208,-0.104132178
1779288971.878393,,,,1779288971.878292084,0.751936103,-0.012583107,-1.062021655,-0.103766743
1779288971.878412,0.045709101,0.381308674,0.000000000,,,,,
1779288971.879269,,,,1779288971.879169226,0.751925053,-0.012542864,-1.062112778,-0.103431034
1779288971.879361,0.045678751,0.381054386,0.000000000,,,,,
1779288971.880188,,,,1779288971.880105495,0.751913557,-0.012500886,-1.062207575,-0.103080846
1779288971.880234,0.045647004,0.380788399,0.000000000,,,,,
1779288971.881083,0.045647004,0.380788399,0.000000000,,,,,
1779288971.881113,,,,1779288971.881016016,0.751902183,-0.012459218,-1.062301353,-0.102733252
1779288971.882044,,,,1779288971.881941795,0.751890485,-0.012416267,-1.062397806,-0.102374959
1779288971.882085,0.045587329,0.380288421,0.000000000,,,,,
1779288971.882940,0.045557034,0.380034605,0.000000000,,,,,
1779288971.882985,,,,1779288971.882863760,0.751878917,-0.012373675,-1.062493186,-0.102019658
1779288971.883835,0.045525782,0.379772766,0.000000000,,,,,
1779288971.883902,,,,1779288971.883755207,0.751868183,-0.012334056,-1.062581682,-0.101689161
