__time,/desired_joint_accelerations/data[0],/desired_joint_accelerations/data[1],/desired_joint_accelerations/layout/data_offset,/joint_accelerations/data[0],/joint_accelerations/data[1],/joint_accelerations/layout/data_offset,/joint_states/header/stamp,/joint_states/joint_1/position,/joint_states/joint_1/velocity,/joint_states/joint_2/position,/joint_states/joint_2/velocity
1781155891.419805,,,,,,,1781155891.419612646,0.950786583,0.035288718,-0.707790371,0.014550169
1781155891.420316,-0.045422194,-0.022711097,0.000000000,,,,,,,,
1781155891.420836,,,,-0.045076632,-0.022996946,0.000000000,,,,,
1781155891.421098,,,,,,,1781155891.420776844,0.950823438,0.035241578,-0.707775180,0.014526119
1781155891.421371,,,,-0.045062646,-0.023066525,0.000000000,,,,,
1781155891.421378,,,,,,,1781155891.421300411,0.950848152,0.035209947,-0.707764995,0.014509928
1781155891.421382,-0.045454919,-0.022727459,0.000000000,,,,,,,,
1781155891.422366,-0.045487644,-0.022743822,0.000000000,,,,,,,,
1781155891.422558,,,,-0.045203188,-0.022959602,0.000000000,,,,,
1781155891.422567,,,,,,,1781155891.422373056,0.950884453,0.035163282,-0.707750040,0.014486226
1781155891.423402,,,,-0.045132734,-0.023094165,0.000000000,,,,,
1781155891.423412,-0.045520369,-0.022760184,0.000000000,,,,,,,,
1781155891.423534,,,,,,,1781155891.423322201,0.950916202,0.035122484,-0.707736964,0.014465350
1781155891.424238,,,,-0.045206305,-0.023062500,0.000000000,,,,,
1781155891.424246,,,,,,,1781155891.424137831,0.950946986,0.035082818,-0.707724289,0.014445114
1781155891.424356,-0.045553093,-0.022776547,0.000000000,,,,,,,,
1781155891.425207,,,,-0.045247423,-0.023069565,0.000000000,,,,,
1781155891.425301,,,,,,,1781155891.425138712,0.950981322,0.035038477,-0.707710156,0.014422507
1781155891.425307,-0.045585818,-0.022792909,0.000000000,,,,,,,,
1781155891.425992,,,,-0.045248621,-0.023121437,0.000000000,,,,,
1781155891.426050,,,,,,,1781155891.425929546,0.951010235,0.035001100,-0.707698258,0.014403407
1781155891.426344,-0.045618543,-0.022809272,0.000000000,,,,,,,,
1781155891.426923,,,,-0.045329566,-0.023082580,0.000000000,,,,,
1781155891.426994,,,,,,,1781155891.426853895,0.951042120,0.034959756,-0.707685140,0.014382354
1781155891.427243,-0.045651268,-0.022825634,0.000000000,,,,,,,,
1781155891.427832,,,,-0.045335748,-0.023129236,0.000000000,,,,,
1781155891.427879,,,,,,,1781155891.427729845,0.951072858,0.034919850,-0.707672498,0.014361995
1781155891.428218,-0.045683993,-0.022841997,0.000000000,,,,,,,,
1781155891.428741,,,,-0.045378771,-0.023133354,0.000000000,,,,,
1781155891.428808,,,,,,,1781155891.428660631,0.951105437,0.034877461,-0.707659103,0.014340386
1781155891.429214,-0.045716718,-0.022858359,0.000000000,,,,,,,,
1781155891.429669,,,,-0.045395129,-0.023168021,0.000000000,,,,,
1781155891.429735,,,,,,,1781155891.429596186,0.951137689,0.034835433,-0.707645846,0.014318936
1781155891.430254,-0.045749443,-0.022874722,0.000000000,,,,,,,,
1781155891.430650,,,,-0.045430840,-0.023180508,0.000000000,,,,,
1781155891.430720,,,,,,,1781155891.430570841,0.951170288,0.034792866,-0.707632450,0.014297217
1781155891.431238,-0.045782168,-0.022891084,0.000000000,,,,,,,,
1781155891.431519,,,,-0.045427753,-0.023183715,0.000000000,,,,,
1781155891.431616,,,,,,,1781155891.431465864,0.951202727,0.034750460,-0.707619124,0.014275576
1781155891.432303,-0.045814893,-0.022907446,0.000000000,,,,,,,,
1781155891.432351,,,,-0.045461921,-0.023198214,0.000000000,,,,,
1781155891.432439,,,,,,,1781155891.432283640,0.951232147,0.034711929,-0.707607042,0.014255914
1781155891.433243,-0.045847618,-0.022923809,0.000000000,,,,,,,,
1781155891.433360,,,,-0.045521408,-0.023184216,0.000000000,,,,,
1781155891.433394,,,,,,,1781155891.433280945,0.951265421,0.034668239,-0.707593380,0.014233662
1781155891.434373,,,,-0.045519863,-0.023239118,0.000000000,,,,,
1781155891.434424,-0.045880343,-0.022940171,0.000000000,,,,,,,,
1781155891.434551,,,,,,,1781155891.434304237,0.951300048,0.034622713,-0.707579168,0.014210420
1781155891.435308,,,,-0.045540757,-0.023267980,0.000000000,,,,,
1781155891.435347,,,,,,,1781155891.435192823,0.951331291,0.034581570,-0.707566349,0.014189399
1781155891.435371,-0.045913068,-0.022956534,0.000000000,,,,,,,,
1781155891.436162,,,,-0.045603536,-0.023250202,0.000000000,,,,,
1781155891.436187,,,,,,,1781155891.436059713,0.951361694,0.034541429,-0.707553877,0.014168934
1781155891.436338,-0.045945793,-0.022972896,0.000000000,,,,,,,,
